City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,corner brook,48.9667,-57.9484,-4.38,99,87,4.12,CA,1675818476
287,hilo,19.7297,-155.09,78.28,92,100,14.97,US,1675818476
288,nabire,-3.3667,135.4833,77.13,86,100,3.33,ID,1675818477
289,sechura,-5.5569,-80.8222,77.36,72,97,13.73,PE,1675818477
290,phan thiet,10.9333,108.1,79.63,63,39,5.17,VN,1675818477
291,petropavlovka,50.6114,105.3196,-11.06,98,66,3.13,RU,1675818478
292,boa vista,2.8197,-60.6733,82.38,65,75,11.5,BR,1675818478
293,sindor,62.8629,51.8905,16.48,94,100,9.78,RU,1675818478
294,vostok,46.4856,135.8833,3.52,82,100,7.72,RU,1675818478
295,tateyama,34.9833,139.8667,51.1,74,100,13.35,JP,1675818479
296,nagato,34.3833,131.2,50.5,60,9,13.06,JP,1675818479
297,usinsk,65.9939,57.5281,13.87,95,100,25.81,RU,1675818479
298,vallenar,-28.5708,-70.7581,73.63,54,0,3.47,CL,1675818480
299,mwinilunga,-11.7358,24.4293,60.13,98,100,3.85,ZM,1675818480
300,nanortalik,60.1432,-45.2371,4.46,72,8,19.35,GL,1675818480
301,mastic beach,40.7668,-72.8521,41.77,84,20,14.0,US,1675818480
302,kodiak,57.79,-152.4072,29.71,51,0,17.27,US,1675818280
303,souillac,-20.5167,57.5167,77.0,83,43,13.91,MU,1675818481
304,lukovetskiy,64.2956,41.9211,33.6,98,100,9.53,RU,1675818481
305,aitape,-3.1374,142.3475,79.05,90,100,10.29,PG,1675818481
306,lake havasu city,34.4839,-114.3224,64.4,23,0,16.11,US,1675818482
307,bin qirdan,33.1378,11.2197,54.82,59,100,20.71,TN,1675818484
308,lavrentiya,65.5833,-171.0,-13.85,91,97,2.71,RU,1675818317
309,ust-nera,64.5667,143.2,-36.22,98,79,0.85,RU,1675818493
310,guipavas,48.4352,-4.3972,35.65,78,0,6.91,FR,1675818500
311,necochea,-38.5473,-58.7368,71.6,79,31,16.13,AR,1675818420
312,sagauli,26.7833,84.7333,54.63,71,0,0.89,IN,1675818516
313,kyabe,9.4515,18.9449,79.68,14,7,8.52,TD,1675818525
314,beterou,9.1992,2.2586,79.86,21,100,2.17,BJ,1675818527
315,verkhoyansk,67.5447,133.385,-56.72,99,71,0.67,RU,1675818527
316,zacualpan,21.25,-105.1667,78.42,75,5,3.06,MX,1675818527
317,makokou,0.5738,12.8642,71.71,89,100,2.77,GA,1675818528
318,cabinda,-5.55,12.2,78.22,88,95,6.46,AO,1675818482
319,evensk,61.95,159.2333,-17.28,75,56,7.47,RU,1675818529
320,dzaoudzi,-12.7887,45.2699,80.49,83,0,4.61,YT,1675818529
321,dubbo,-32.25,148.6167,84.33,45,40,11.5,AU,1675818530
322,kendari,-3.945,122.4989,83.68,70,100,1.81,ID,1675818530
323,mareeba,-17.0,145.4333,86.49,74,96,4.59,AU,1675818530
324,tuatapere,-46.1333,167.6833,54.52,66,81,14.56,NZ,1675818530
325,ambon,-3.6954,128.1814,87.94,66,40,4.61,ID,1675818531
